0.9667,0.0419,0.133,0.0187,0.247,0.0251,0.1232,0.0411,0.4635,0.0465,0.2554,0.0219,0.4786,0.0331,0.5335,0.0233,0.3051,0.062,0.3457,0.0908,-0.2778,0.1208,-0.2207,0.2275,1.2205,0.0276,-0.2246,0.1227,-0.0,0.2566,-0.2704,0.0507,4.9456,2.4466,-0.1684,0.3143,46.983,174.9755,105.2966,48.4155,52.6335,-17.5718,-32.5861,-57.4447,-56.6776,-102.6975,-36.6962,-75.5231,25.6204,94.15,103.5824,17.5098,45.6977,-52.4558,13.8965,-12.4346,-63.4135,-68.1813,-37.3272,-56.5358,134.1486,219.7976,117.1288,90.0905,-13.8149,-218.3908,-171.909,-48.8931,-72.4672,-69.1396,-18.3437,-38.8905,-1.6871,37.8156,63.3964,53.6764,32.0187,5.1481,-11.4665,-4.1029,10.2212,-65.1463,-36.4847,-87.7458,1.706,0.6702,0.2016,0.1486,0.1332,0.0831,0.0375,0.0305,0.0392,0.5582,0.2475,0.2187,0.1155,0.0574,0.0642,0.0517,0.0459,0.048,7.2024,4.7149,1.0222,0.2597,0.1437,0.1289,0.0916,0.0449,0.0335,0.1854,0.1134,0.082,0.0416,0.0371,0.0336,0.0326,0.0235,0.0185
0.765,0.0206,0.1825,0.0083,0.1475,0.0083,0.1274,0.018,0.3076,0.018,0.193,0.013,0.402,0.0177,0.4804,0.0283,0.6169,0.0554,0.3804,0.0278,0.2145,0.2098,-0.048,0.1496,0.4809,0.4689,0.0721,0.1716,0.7728,0.9253,0.0525,0.5005,1.3157,0.5644,-0.3883,0.2528,110.9296,134.4913,21.9388,14.8111,16.9495,14.1128,-17.8981,-56.4769,-22.2244,-97.7199,-53.4252,-19.6008,100.3958,44.7445,-66.3125,-66.8949,25.7021,72.3879,21.4051,-44.6725,-71.9093,-44.6461,2.6323,24.8971,133.8334,151.8076,15.8738,28.2609,-106.7353,-83.5015,26.9194,-48.3357,-29.2812,-86.2332,-12.9518,-38.8707,26.1542,91.5269,36.8111,50.2947,-10.1967,-22.9656,-20.5276,-11.2803,-4.6332,-39.8043,-53.619,-46.5443,6.1089,4.5819,1.3891,1.121,0.757,0.397,0.2846,0.1481,0.1197,2.5036,3.083,1.53,1.1362,3.2112,1.014,0.4482,0.204,0.1201,5.5975,4.5324,3.5537,1.1639,0.6345,0.2638,0.2114,0.0982,0.0768,0.8516,0.5498,0.4089,0.2025,0.167,0.117,0.0926,0.0654,0.0624
1.2067,0.0192,0.1468,0.0172,0.14,0.0082,0.1967,0.017,0.7232,0.0413,0.1161,0.0085,0.599,0.0259,0.1949,0.0226,0.2581,0.0212,0.2127,0.0174,-0.0821,0.2309,-0.0082,0.2238,-0.8657,0.2261,-0.0763,0.2038,1.6531,0.3476,-0.4708,0.5449,1.6618,0.5736,0.0522,0.2279,79.4275,157.4423,123.6944,87.7699,-11.5646,-43.5991,-113.8393,-74.782,-97.0855,-50.1053,-79.5948,-38.1297,41.8246,225.8441,34.2231,130.9007,-20.8347,77.6266,-93.6851,-71.4325,-105.9784,-75.96,-96.6291,-35.7927,13.2333,109.0641,90.2091,115.0154,22.8077,69.8564,-22.5883,-16.6993,-93.3468,-46.8295,-103.7086,-99.9134,19.2381,59.7924,25.035,75.8867,-3.0909,63.1934,-14.9431,-12.6626,-51.6941,-35.612,-73.874,-51.2033,5.923,2.5697,0.4576,0.2501,0.0682,0.1471,0.1373,0.1019,0.0804,0.7567,0.3342,0.0764,0.0386,0.0507,0.0206,0.0113,0.0085,0.0109,1.3072,0.7008,0.2512,0.301,0.1128,0.1301,0.0876,0.0572,0.0503,0.1858,0.0852,0.0578,0.035,0.028,0.0252,0.0184,0.014,0.0108
1.08,0.02,0.0898,0.0602,0.3052,0.1052,0.0948,0.0148,0.5902,0.0103,0.2809,0.0923,0.5469,0.0196,0.5204,0.1874,0.7791,0.5651,0.4161,0.0099,-0.8853,0.009,-0.1652,0.4484,1.0754,0.2737,0.067,0.2077,0.2009,0.9242,2.3236,2.1264,2.1645,1.385,0.2727,0.3646,51.9289,119.9053,130.4835,90.4464,45.848,14.9162,-0.812,-67.0615,-90.8584,-112.1478,-93.0917,-89.5567,87.9325,84.2033,62.195,10.1801,-38.4736,-29.3939,-15.9392,-24.8989,-37.2318,-39.049,-34.0402,-25.4844,173.2877,95.248,89.74,-169.1687,12.1496,-192.6868,-99.3818,-17.52,115.6041,62.4376,-38.2228,-31.4869,54.5423,121.4096,22.8284,-23.0048,33.4335,-12.9064,76.1815,-50.4398,41.8196,-110.0077,-87.9478,-65.9084,3.5294,1.0854,0.1596,0.1682,0.124,0.0658,0.0578,0.0475,0.0312,1.9981,2.3994,0.8304,0.7338,0.4363,0.3082,0.2594,0.1866,0.1267,4.1475,5.8042,5.221,1.4072,0.239,0.3594,0.2352,0.0714,0.0504,0.1798,0.0597,0.0642,0.0501,0.0217,0.0128,0.0078,0.0054,0.004
0.7201,0.0187,0.1499,0.0157,0.1051,0.0165,0.0876,0.0131,0.3775,0.0228,0.1466,0.0262,0.524,0.0254,0.2822,0.063,0.1637,0.0126,0.3336,0.0484,-0.5324,0.1856,-0.0591,0.266,-0.1358,0.2899,0.085,0.1514,1.7344,1.3475,-0.9727,0.1471,1.0751,0.4984,-0.0581,0.5456,151.5506,196.2934,164.974,76.242,-8.3014,-71.3157,-95.1233,-87.4213,-98.433,-92.7207,-55.8879,-37.041,78.7577,109.6267,69.5675,62.7185,59.5862,21.5862,-26.4618,-35.3465,-69.3278,-98.698,-68.0974,-87.4606,185.518,133.8814,9.8528,41.9068,104.2397,54.7074,-60.8734,-143.0664,-94.5211,-74.9298,-98.3301,-55.4413,37.2641,74.5377,73.9459,56.369,24.9199,14.3558,-1.9282,-40.4829,-50.3478,-59.813,-65.4865,-64.2062,4.5879,1.6519,0.4659,0.1948,0.0904,0.0672,0.0396,0.025,0.0174,0.3863,0.0814,0.0596,0.0475,0.0215,0.0165,0.0104,0.0077,0.0052,2.8962,0.438,0.2267,0.1436,0.2106,0.103,0.0342,0.0098,0.0045,0.2882,0.1154,0.0592,0.0537,0.0428,0.0329,0.0237,0.0188,0.0144
0.768,0.1533,0.17,0.0296,0.1341,0.0332,0.0879,0.0223,0.376,0.1477,0.1813,0.056,0.4719,0.0943,0.4194,0.2018,0.2597,0.0395,0.3463,0.0382,0.2703,0.3165,0.384,0.6457,0.7306,0.2615,0.0907,0.1968,1.7473,0.8222,-0.2455,0.5931,1.8979,1.5341,-0.0678,0.2843,103.8997,177.7902,126.7652,59.8606,-8.6637,-89.1405,-125.4306,-88.3418,-49.7577,-46.3792,-30.9261,-39.4554,73.4902,112.2376,49.1414,43.6044,0.2844,8.8241,5.8012,-26.9594,-30.933,-80.1969,-60.7823,-76.6525,201.3735,90.6426,58.1582,-102.6992,9.312,-125.3661,-80.0781,-34.9048,24.4006,-59.7348,-17.4067,-22.2403,52.5263,81.051,68.5802,43.652,5.9812,-4.814,-13.1994,-40.7207,-36.6591,-41.6884,-54.6029,-65.5193,6.7296,4.0787,0.9373,0.2529,0.2158,0.15,0.1166,0.091,0.0684,0.3731,0.1924,0.1478,0.0705,0.0543,0.0319,0.014,0.0085,0.0056,4.1753,2.5947,2.5541,0.7305,0.3353,0.3039,0.1162,0.0366,0.0134,0.5356,0.2086,0.1594,0.1085,0.0981,0.0712,0.0614,0.0444,0.0329
0.835,0.0364,0.165,0.0522,0.16,0.0354,0.0925,0.0192,0.4175,0.0249,0.1929,0.0483,0.4998,0.0149,0.3845,0.091,0.3154,0.0671,0.2617,0.048,-0.1761,0.1747,0.0015,0.4939,1.6219,0.4964,0.1246,0.1834,2.5925,1.5168,-0.14,1.1538,6.4231,2.3565,0.3111,1.5272,107.1953,80.2173,111.3941,-25.3011,-63.157,-61.5268,-8.7216,-42.7856,8.4349,-30.2448,-20.412,-24.2299,60.3085,101.3308,63.8127,-17.6585,-37.2657,-24.894,29.5865,5.1796,-30.5425,-60.8164,-32.3468,-41.0866,159.8418,60.0651,48.295,-34.5901,37.8366,-123.3303,24.0334,-18.1104,-25.1207,-109.347,-34.9176,-14.9118,32.9589,87.2306,46.9798,19.2651,8.1825,-22.3805,-25.5582,-15.0982,-14.2192,-26.0561,-42.3636,-57.4126,4.45,3.3944,2.0816,1.3777,0.6694,0.4972,0.3072,0.2382,0.1242,0.7404,0.3979,0.227,0.1686,0.0892,0.048,0.0399,0.0342,0.0275,6.4053,2.6171,1.7904,2.3659,0.896,0.6446,0.4395,0.1405,0.0588,0.2268,0.092,0.091,0.0501,0.0229,0.0232,0.0177,0.0136,0.0128
0.95,0.1023,0.14,0.0327,0.2098,0.008,0.0833,0.0125,0.5168,0.0848,0.2243,0.0324,0.5411,0.0431,0.4211,0.092,0.1367,0.0222,0.27,0.0857,0.6113,0.0541,0.1157,0.1688,0.4622,0.0363,-0.02,0.1637,2.5319,1.2289,0.5466,0.7237,0.5774,0.5463,1.5697,1.3223,159.8199,164.6043,61.6278,0.5369,-44.9126,-121.1853,-99.4584,-70.2636,-68.5847,-24.2773,1.1401,-18.4735,121.1104,125.5376,40.5753,4.5133,30.3626,-46.9577,-39.8267,-53.7417,-51.6682,-46.4958,-28.2481,-26.594,200.5335,128.623,76.6353,37.2053,-4.3208,-186.8881,-21.1204,-134.2801,-137.4738,-20.8223,33.0859,15.2022,44.7417,79.9328,54.5924,58.5616,12.6317,-17.2233,-8.9327,-58.948,-34.7117,-53.213,-42.0769,-50.4517,7.6013,8.247,2.0622,1.4242,0.5272,0.205,0.1576,0.0756,0.055,0.7325,0.4854,0.1812,0.1119,0.0975,0.0543,0.0285,0.0214,0.0147,4.5819,2.6337,0.4388,0.2022,0.2406,0.1672,0.054,0.0272,0.0115,0.2416,0.0696,0.0395,0.0352,0.0385,0.022,0.0168,0.0129,0.0104
1.1133,0.059,0.1802,0.0084,0.15,0.0163,0.0932,0.0249,0.69,0.0432,0.1358,0.0217,0.6195,0.0075,0.2195,0.0368,0.2066,0.0133,0.1486,0.018,0.1881,0.5641,-0.0452,0.1787,1.1876,0.2576,-0.2384,0.162,1.5172,0.8453,-0.2977,0.3214,3.8819,1.762,1.5924,2.2186,59.4367,145.6413,149.0082,106.5747,25.2276,-7.2254,-49.6754,-88.2404,-92.4593,-91.7601,-76.7264,-75.4839,75.8577,168.1199,91.1632,57.1555,-4.0535,-66.2209,-55.839,-75.8604,-56.3913,-51.1698,-46.0627,-37.5993,214.5495,177.2463,105.0486,-161.0269,-149.7909,-22.5742,47.6004,-117.8488,-80.613,21.1433,-68.8621,-34.9683,51.6855,90.3315,55.027,43.688,48.8885,-48.523,-4.5273,-15.3432,-42.7889,-68.9626,-50.5885,-51.7351,1.7492,0.5306,0.198,0.0959,0.1227,0.0665,0.0501,0.0413,0.0288,0.5659,0.1906,0.0966,0.043,0.0269,0.0201,0.0141,0.0111,0.0091,6.5737,4.3671,1.4068,1.1356,0.3687,0.1857,0.0397,0.0398,0.0137,0.1319,0.033,0.0316,0.0207,0.0163,0.0107,0.0102,0.007,0.0052
1.0135,0.0172,0.2133,0.0309,0.1468,0.0413,0.1233,0.0499,0.53,0.0787,0.1443,0.0385,0.5225,0.0743,0.2818,0.0901,0.3308,0.0677,0.4364,0.0799,-0.381,0.4524,-0.209,0.0948,-1.1023,0.5799,-0.439,0.8122,1.9315,1.1346,-0.3954,0.2841,2.1945,2.3242,2.5284,3.2674,76.2437,128.0515,52.2871,8.5808,-39.4316,-61.8582,-69.5255,-81.8513,2.4777,-33.4814,-8.9949,-35.3174,-12.5055,170.7485,17.3217,62.9134,76.9599,21.4048,-39.535,-48.0148,-28.252,-91.9503,-18.2654,-41.2594,82.4739,185.5454,28.5845,-5.3072,36.3233,-11.5092,-103.6313,-20.7645,-23.7163,-1.358,-37.7319,-35.5164,15.6798,124.4527,-8.8436,48.7744,91.058,-29.6805,-37.2465,-29.3783,-23.5312,-81.0111,-72.5677,-57.4024,4.2133,3.5724,1.2946,0.7363,0.4017,0.4193,0.2951,0.1713,0.1542,0.6236,0.1441,0.1287,0.0923,0.098,0.0727,0.0573,0.05,0.104,5.3758,1.5853,1.4719,0.559,0.312,0.2774,0.2891,0.1257,0.1407,0.4524,0.1521,0.1391,0.0599,0.0832,0.0505,0.0444,0.0273,0.0473
